tweets,sentiment
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @mynewshub: Lain macam alasan pemimpin DAP ini.

Dia suruh kerajaan jangan buat PRU15 sekarang sebab PH mampu menang sekiranya diberi ru…","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.5859}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @mandeepkarpall: 1. Najib Razak - convicted criminal
2. Zahid Hamidi 47 pertuduhan

Bab mana yang tak faham BN ini memang parti korup","{'neg': 0.182, 'neu': 0.728, 'pos': 0.089, 'compound': -0.4215}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak nafi ‘brain drain’ punca beliau terpaksa upah peguam dari London.

“Peguam tempatan selalu sakit dan bagi banya…","{'neg': 0.203, 'neu': 0.797, 'pos': 0.0, 'compound': -0.7269}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
RT @limkitsiang: Even Tun Razak will not believe in Najib’s explanation of innocence of corruption   https://t.co/3PPpOayzdJ https://t.co/J…,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
2. Ahmad Maslan was previously acquitted on two charges of failing to declare the RM2mil sum of money he received f… https://t.co/YPqu2J1SkS,"{'neg': 0.205, 'neu': 0.72, 'pos': 0.076, 'compound': -0.5267}"
"@akaunrasmi Tengok ni!
NAZIR RAZAK yg Bantu Najib Curi Duit 1MDB! 😡😡😡
Ada Lagi Banyak Kes Yg Nazir bantu Najib! 
😡… https://t.co/FUedfGcz9R","{'neg': 0.119, 'neu': 0.817, 'pos': 0.064, 'compound': -0.4359}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
RT @limkitsiang: Even Tun Razak will not believe in Najib’s explanation of innocence of corruption   https://t.co/3PPpOayzdJ https://t.co/J…,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
RT @limkitsiang: Even Tun Razak will not believe in Najib’s explanation of innocence of corruption   https://t.co/3PPpOayzdJ https://t.co/J…,"{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.3818}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
RT @chairman_GLC: @mynewshub Geli betul tengok kebodohan kau ni. Kau ingat Syah tu sama level bangang dengan Najib Razak ke 🤣. What an insu…,"{'neg': 0.08, 'neu': 0.746, 'pos': 0.174, 'compound': 0.5256}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @mynewshub: Lain macam alasan pemimpin DAP ini.

Dia suruh kerajaan jangan buat PRU15 sekarang sebab PH mampu menang sekiranya diberi ru…","{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.5859}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"Lain macam alasan pemimpin DAP ini.

Dia suruh kerajaan jangan buat PRU15 sekarang sebab PH mampu menang sekiranya… https://t.co/HOCzPcdK0q","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.5859}"
Please do for Najib Razak too https://t.co/SUI9TRA9Ws,"{'neg': 0.0, 'neu': 0.723, 'pos': 0.277, 'compound': 0.3182}"
"RT @mandeepkarpall: 1. Najib Razak - convicted criminal
2. Zahid Hamidi 47 pertuduhan

Bab mana yang tak faham BN ini memang parti korup","{'neg': 0.182, 'neu': 0.728, 'pos': 0.089, 'compound': -0.4215}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
RT @chairman_GLC: @mynewshub Geli betul tengok kebodohan kau ni. Kau ingat Syah tu sama level bangang dengan Najib Razak ke 🤣. What an insu…,"{'neg': 0.08, 'neu': 0.746, 'pos': 0.174, 'compound': 0.5256}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"2
By Justin Ong
Wednesday, 01 Jun 2022 2:34 PM MYT
KUALA LUMPUR, June 1 — Former Barisan Nasional chairman Datuk Se… https://t.co/jWHe9Wwydm","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
"RT @bawangmana: Najib Razak terkejut dengan keputusan kes Johnny Depp yang sudah diputuskan di mahkamah, semalam.

""Bicara apa pendek sanga…","{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.2263}"
